trial_type	onset	duration
visual_computation	0.0	1.0
visual_computation	2.400000095	1.0
horizontal_checkerboard	8.699999809	1.0
audio_right_hand_button_press	11.39999961	1.0
sentence_listening	15.0	1.0
visual_right_hand_button_press	18.0	1.0
sentence_listening	20.70000076	1.0
audio_left_hand_button_press	23.70000076	1.0
visual_left_hand_button_press	26.70000076	1.0
sentence_listening	29.70000076	1.0
vertical_checkerboard	33.0	1.0
audio_computation	35.40000152	1.0
sentence_reading	39.0	1.0
sentence_reading	41.70000076	1.0
audio_computation	44.70000076	1.0
audio_computation	48.0	1.0
sentence_reading	56.40000152	1.0
horizontal_checkerboard	59.70000076	1.0
audio_left_hand_button_press	62.40000152	1.0
visual_right_hand_button_press	69.0	1.0
visual_left_hand_button_press	71.40000152	1.0
sentence_reading	75.0	1.0
audio_computation	83.40000152	1.0
audio_right_hand_button_press	87.0	1.0
sentence_listening	89.69999694	1.0
vertical_checkerboard	96.0	1.0
audio_computation	108.0	1.0
visual_left_hand_button_press	116.6999969	1.0
sentence_listening	119.4000015	1.0
vertical_checkerboard	122.6999969	1.0
visual_computation	125.4000015	1.0
sentence_reading	131.3999938	1.0
audio_computation	135.0	1.0
audio_computation	137.6999969	1.0
vertical_checkerboard	140.3999938	1.0
audio_right_hand_button_press	143.3999938	1.0
sentence_listening	146.6999969	1.0
horizontal_checkerboard	149.3999938	1.0
visual_computation	153.0	1.0
vertical_checkerboard	156.0	1.0
sentence_reading	159.0	1.0
audio_right_hand_button_press	162.0	1.0
visual_computation	164.3999938	1.0
sentence_reading	167.6999969	1.0
audio_left_hand_button_press	170.3999938	1.0
audio_computation	173.6999969	1.0
horizontal_checkerboard	176.6999969	1.0
horizontal_checkerboard	188.3999938	1.0
audio_computation	191.6999969	1.0
sentence_reading	195.0	1.0
visual_computation	198.0	1.0
visual_computation	201.0	1.0
vertical_checkerboard	203.6999969	1.0
vertical_checkerboard	207.0	1.0
vertical_checkerboard	210.0	1.0
visual_left_hand_button_press	212.6999969	1.0
visual_left_hand_button_press	215.6999969	1.0
horizontal_checkerboard	218.6999969	1.0
visual_computation	221.3999938	1.0
horizontal_checkerboard	224.6999969	1.0
visual_right_hand_button_press	227.6999969	1.0
audio_right_hand_button_press	230.6999969	1.0
visual_computation	234.0	1.0
sentence_listening	236.6999969	1.0
sentence_reading	246.0	1.0
horizontal_checkerboard	248.3999938	1.0
audio_computation	251.6999969	1.0
audio_left_hand_button_press	254.6999969	1.0
audio_left_hand_button_press	257.3999938	1.0
visual_computation	260.3999938	1.0
vertical_checkerboard	264.0	1.0
horizontal_checkerboard	266.7000122	1.0
horizontal_checkerboard	269.7000122	1.0
visual_right_hand_button_press	275.3999938	1.0
vertical_checkerboard	278.3999938	1.0
sentence_listening	284.3999938	1.0
sentence_reading	288.0	1.0
visual_right_hand_button_press	291.0	1.0
sentence_listening	293.3999938	1.0
sentence_listening	296.7000122	1.0
